AggressorTime,RequestTime,ExecID,LastQty,AggressorSide,LastPx,RestingHiddenQty,volume_bar_label
1586156629239488512,1586156629239478784,1586156629239925377,23980000,49,15600000000,0,51
1586156629239562496,1586156629239488256,1586156629240184299,360000,50,15597999999,0,52
1586156629239564544,1586156629239497984,1586156629240218449,390000,50,15597999999,0,52
1586156629240144896,1586156629240135936,1586156629240506359,700000,49,15608000000,0,52
1586156629445890560,1586156629445874176,1586156629445894934,620000,50,15597999999,0,53
1586156629446011392,1586156629445954560,1586156629446095105,150000,50,15596000000,0,53
1586156629446026240,1586156629445956864,1586156629446156474,350000,50,15596000000,0,53
1586156629446221824,1586156629446208000,1586156629446376687,1370000,50,15594000000,0,54
1586156629446453504,1586156629446432000,1586156629446586100,2900000,50,15591999999,0,55
1586156629446675200,1586156629446640896,1586156629446769822,4240000,50,15590000000,0,56
1586156629446928896,1586156629446904320,1586156629446975817,90000,50,15590000000,0,57
1586156629446942208,1586156629446909184,1586156629447005713,500000,49,15591999999,0,57
1586156629446944000,1586156629446924288,1586156629447040927,200000,49,15591999999,0,57
1586156629446998528,1586156629446989056,1586156629447125635,460000,50,15590000000,0,57
1586156629447005440,1586156629446992384,1586156629447201064,210000,50,15590000000,0,58
1586156629767377920,1586156629767369728,1586156629767384856,10000,50,15582000000,0,58
1586156630124563968,1586156630124552192,1586156630124568898,700000,49,15591999999,0,58
1586156630129167360,1586156630129157632,1586156630129171563,700000,49,15591999999,0,58
1586156630133890816,1586156630133880832,1586156630133894265,700000,49,15591999999,0,59
1586156630239926272,1586156630239913472,1586156630239930349,1120000,49,15594000000,0,59
1586156630246484992,1586156630246476544,1586156630246490357,1629999,49,15594000000,0,60
1586156630256461056,1586156630256451584,1586156630256465294,700000,49,15597999999,0,61
1586156630278400000,1586156630278389248,1586156630278404377,1569999,49,15594000000,0,61
1586156630512837376,1586156630512823808,1586156630512840822,8000000,49,15597999999,0,62
1586156630522210560,1586156630522183936,1586156630522213852,1200000,49,15597999999,0,63
1586156630696546816,1586156630696536576,1586156630696551259,700000,49,15596000000,0,64
1586156630803072256,1586156630803063808,1586156630803086257,100000,50,15586000000,0,64
1586156635026008320,1586156635025986816,1586156635026070992,1000000,50,15580000000,0,64
1586156635026015232,1586156635025988864,1586156635026135938,119999,50,15580000000,0,65
1586156635026019840,1586156635026003456,1586156635026187693,400000,50,15578000000,0,65
1586156635026022400,1586156635026003456,1586156635026223092,19250000,49,15582000000,0,65
1586156635026034688,1586156635026014720,1586156635026306591,30750000,49,15582000000,0,66
1586156635026062080,1586156635026048512,1586156635026400812,119999,50,15582000000,0,67
1586156635026129408,1586156635026119680,1586156635026491897,119999,50,15582000000,0,67
1586156635026242048,1586156635026232576,1586156635026758359,910000,50,15576000000,0,67
1586156635026279936,1586156635026266112,1586156635026897488,929999,49,15582000000,0,68
1586156635069713664,1586156635069703168,1586156635069717964,1000000,50,15576000000,0,68
1586156635248054784,1586156635248043008,1586156635248058983,570000,50,15576000000,0,69
1586156635272406528,1586156635272397312,1586156635272420915,700000,49,15574000000,0,69
